Titulo,Compañia,Experiencia,Salario,Ubicacion,Requisitos
Big Data engineer,GMV,Sin informacion,Sin informacion,"Tres Cantos, Madrid provincia","['Angular', 'Go', 'Next', 'JQuery', 'Redux', 'Python', 'Django', 'R', 'SQL']"
"Analista Big Data ( Python, Spark, Scala) (Madrid)",CMV Consultores,2 años,25.000 € a 28.000 €,"Teletrabajo in Madrid, Madrid provincia","['Java', 'Python', 'Scala', 'GIT', 'Jenkins', 'Spark', 'JIRA']"
Becas para analistas de datos,Talentum,Sin informacion,750 €,"Madrid, Madrid provincia","['JavaScript', 'Python', 'R', 'SQL', 'Apache', 'Spark', 'BI', 'Tableau']"
Consultor/a Financiero Junior (Enero 2022),EY,Sin informacion,Sin informacion,"Madrid, Madrid provincia","['RPA', 'SAP']"
Big Data,Icono Training Consulting,Sin informacion,Sin informacion,"Madrid, Madrid provincia","['Almacenamiento', 'Hadoop']"
Quality Assurance sector pharma (TEMPORAL),BETWEEN,Sin informacion,21.000 € a 30.000 €,"Madrid, Madrid provincia","['IoT', 'BI']"
Operaciones – Consultor Big Data REMOTO MADRID,7250 29/07/2022,3 años,Sin informacion,"Alcobendas, Madrid provincia","['Python', 'Scala', 'SQL', 'Spark']"
AI & Data - Internship,Hewlett Packard Enterprise,Sin informacion,Sin informacion,"Las Rozas de Madrid, Madrid provincia","['C', 'Java', 'Python', 'R', 'Shell', 'SQL', 'EDGE', 'Unix']"
Data Engineer,DNA325,Sin informacion,3.000 € a 7.000 €,"Madrid, Madrid provincia
+1 ubicación","['NoSQL', 'Python', 'Scala', 'Shell', 'Elasticsearch', 'DynamoDB', 'AWS', 'Cassandra', 'Spark', 'ETL', 'DataStage']"
"Experto/a en Gobierno del Dato, Big Data & Analytics",INECO,7 años,Sin informacion,"28036 Madrid, Madrid provincia","['Python', 'R', 'GIT']"
Data Analyst,Scalefast,Sin informacion,Sin informacion,"28045 Madrid, Madrid provincia","['Next', 'Reports', 'Python', 'R', 'SQL', 'Access', 'AWS', 'BI', 'Tableau']"
Data Analyst BNP Paribas Personal Finance,BNP Paribas,4 años,Sin informacion,"Madrid, Madrid provincia","['Adobe', 'Python', 'R', 'SQL', 'BI', 'SAS', 'Tableau']"
Data Analyst,Ryanair,Sin informacion,Sin informacion,"28046 Madrid, Madrid provincia","['Air', 'Reports', 'Python', 'R', 'SQL', 'Basis', 'BI', 'Tableau']"
R&D Data Scientist,Nommon Solutions and Technologies,Sin informacion,30.000 – 42.000 €,"Madrid, Madrid provincia","['C', 'Java', 'Next', 'Python', 'R']"
Reward and LTI Program Manager,Galderma,Sin informacion,Sin informacion,"Barcelona, Barcelona provincia","['Core', 'Natural', 'EDGE']"
Global Talent Internship Program,GMV,Sin informacion,Sin informacion,"Sevilla, Sevilla provincia","['Next', 'Hardware', 'Switch']"
Informático para desarrollos en Big Data sobre...,CAF,Sin informacion,Sin informacion,"28006 Madrid, Madrid provincia",['ETL']
Consultoría | Data & Analytics Hub Málaga,PwC,3 años,Sin informacion,"29010 Málaga, Málaga provincia","['Angular', 'Bootstrap', 'JavaScript', 'React', 'TypeScript', 'VueJS', 'NoSQL', 'Python', 'Shell', 'Sketch', 'SQL', 'Apache', 'MongoDB', 'Postgre', 'SQL Server', 'Linux', 'AWS', 'Microsoft Azure', 'GIT', 'Hadoop', 'Spark', 'Scrum']"
Programa de Prácticas DIXCOVER Song,Accenture,Sin informacion,Sin informacion,"Madrid, Madrid provincia",['SAP']
Consultor/a Data & Analytics,EY,2 años,Sin informacion,"28003 Madrid, Madrid provincia","['Python', 'R', 'RPA', 'SAP', 'BI']"
Beca Data Manager-Control de Activos,Acciona,Sin informacion,Sin informacion,"Madrid, Madrid provincia",[]
Analista Funcional para Proyectos Big Data Analytics,Bo Growth,Sin informacion,Sin informacion,"03001 Alicante, Alicante provincia",['AWS']
Data Analyst intern,PayFit,Sin informacion,Sin informacion,"Barcelona, Barcelona provincia","['Core', 'Next', 'Python', 'SQL', 'Tableau']"
DATA SCIENTIST ANALYST I,BBVA,Sin informacion,Sin informacion,"Madrid, Madrid provincia","['C', 'Python', 'R', 'REST', 'Scala', 'Hadoop', 'Spark']"
Analista funcional para proyectos Big Data & Analytics – Alicante,Instituto Tecnológico de Informática,3 años,Sin informacion,"Teletrabajo in Alicante, Alicante provincia",['AWS']
Consultor Junior (beca),Alkemy,2 años,Sin informacion,"28016 Madrid, Madrid provincia",['C']
Data Engineer,WebBeds,Sin informacion,Sin informacion,"Palma de Mallorca, Illes Balears provincia","['Core', 'API', 'Next', 'Express', 'SQL', 'EDGE', 'Business Intelligence', 'ERP']"
Data Consultant,SDG Group,Sin informacion,Sin informacion,"Teletrabajo in 28020 Madrid, Madrid provincia","['Python', 'SQL', 'Spark', 'Qlik Sense', 'BI', 'Tableau']"
Data Analyst,Versatile Staffing Solutions,Sin informacion,25.000 € a 35.000 €,Teletrabajo,"['Python', 'R', 'SQL']"
People Team Projects Senior Manager,Boston Consulting Group,Sin informacion,Sin informacion,"28013 Madrid, Madrid provincia",['Core']
