Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Technical Lead Big Data - Nivel alto de inglés,Page Personnel Spain,Sin informacion,Sin informacion,Málaga,05-01-2023,"['Java', 'Python', 'Scala', 'Elasticsearch', 'Hadoop', 'Spark', 'ETL']"
Big Data Analytics,Bo Growth,2,Sin informacion,Valencia,28-12-2022,"['MySQL', 'Scala', 'MongoDB', 'Redis', 'Linux', 'Bases de Datos', 'AWS', 'Bigdata', 'Cassandra', 'Kafka', 'Spark', 'IoT']"
Analista Funcional para Proyectos Big Data Analytics,Bo Growth,3,Sin informacion,Alicante,28-12-2022,['AWS']
Big Data Developer,PUE,2,Sin informacion,Madrid,23-12-2022,"['Java', 'Python', 'Scala', 'SQL', 'Bigdata', 'Spark', 'Agile', 'Scrum']"
"PERFILES BIG DATA SPARK, SCALA, PYTHON, POWERBI",IRIUM - Spain,1,Sin informacion,Madrid,30-12-2022,"['Python', 'Scala', 'Spark']"
BIG DATA ENGINEER | DATA WAREHOUSE ENGINEER | DATA ENGINEER,Techyon Espana,3,Sin informacion,Cádiz,15-12-2022,"['Core', 'Scala', 'Spark', 'ETL', 'Agile']"
QA Engineer - Big Data,Winning,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Java', 'Maven', 'JMeter', 'Python', 'R', 'Scala', 'Shell', 'SonarQube', 'Cucumber', 'Linux', 'BBDD', 'Selenium', 'GIT', 'Jenkins', 'Docker', 'Kubernetes', 'Kafka', 'Spark']"
Desarrollador/a React - Big Data,Page Personnel Spain,3,Sin informacion,Madrid,29-12-2022,"['React', 'Scala', 'Cassandra', 'Kafka', 'Spark']"
Programmer | Big Data,MALTHUS DARWIN,3,Sin informacion,Madrid,08-12-2022,"['Java', 'Python', 'Scala', 'GIT', 'Jenkins', 'Qlik Sense']"
Ingeniero/a I+D | Comunicaciones y Digitalización - Big Data,CAF,Sin informacion,Sin informacion,Sin informacion,08-12-2022,"['C', 'Python', 'Tiempo Real', 'Redes', 'TCP/IP', 'AWS', 'GIT', 'Docker', 'Kubernetes', 'Kafka', 'IoT']"
BIG DATA ENGINEER,B2M,3,Sin informacion,Madrid,08-12-2022,"['Python', 'Shell', 'SQL', 'Linux', 'Spark']"
Consultor/a Big Data,MALTHUS DARWIN,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Python', 'Scala', 'SQL', 'Spark']"
Para Alicante: Analista funcional para proyectos Big Data & Analytics,ITI,3,Sin informacion,Alicante,08-12-2022,"['Tiempo Real', 'AWS']"
Ingeniero de Compra de Energía (Vigo),Page Personnel Spain,Sin informacion,Sin informacion,Sin informacion,05-01-2023,[]
Informático para desarrollos en Big Data sobre infraestructura Cloud (Beca),CAF,Sin informacion,Sin informacion,Madrid,08-12-2022,"['C', 'ETL']"
Data Engineer // BI developer ** REMOTO,Grupo Digital,3,Sin informacion,Madrid,19-12-2022,"['.NET', 'NoSQL', 'R', 'SQL', 'Bases de Datos', 'MicroStrategy', 'ETL', 'BI', 'Tableau']"
Trainee Software Developer,Boehringer Ingelheim,Sin informacion,Sin informacion,Sin informacion,16-12-2022,"['Python', 'AWS', 'Jenkins', 'JIRA', 'Scrum', 'BI']"
Data Engineer,Leroy Merlin España,Sin informacion,Sin informacion,Madrid,23-12-2022,"['Python', 'SQL', 'Tiempo Real']"
Data Scientist,Leroy Merlin España,3,Sin informacion,Madrid,23-12-2022,"['Python', 'R']"
Java Developer,INNOCV Solutions S.L.U.,Sin informacion,Sin informacion,Asturias,08-12-2022,"['Java', 'Spring', 'REST', 'Scala', 'Spark', 'ETL', 'IoT', 'Salesforce']"
Administrador Unix / Linux,PUE,2,Sin informacion,Madrid,23-12-2022,"['Linux', 'Red Hat', 'Unix', 'Bigdata', 'Agile', 'Scrum']"
Instructor,PUE,Sin informacion,Sin informacion,Barcelona,23-12-2022,"['Bigdata', 'Agile', 'Scrum']"
Desarrollador_a Full Stack para Proyectos de I+D,ITI,Sin informacion,Sin informacion,Valencia,08-12-2022,"['Angular', 'C', 'Java', 'JavaScript', 'Node', 'React', 'Vue', 'PHP', 'Python', 'REST', 'Linux', 'Redes', 'GIT', 'Docker']"
Consultor/a Junior BI,VISEO - Spain,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['SQL', 'AWS', 'Bigdata', 'SAP', 'BW', 'BI', 'Tableau']"
Analytics Consultant Senior,BMIND,9,Sin informacion,Madrid,08-12-2022,"['Adobe', 'Python', 'R', 'SQL', 'SAN', 'Google Cloud Platform', 'CRM', 'ETL', 'Salesforce', 'BI', 'Tableau']"
Analista programador/a,Auren Personas,2,Sin informacion,Madrid,30-12-2022,"['CSS', 'HTML', 'Java', 'JavaScript', 'SQL', 'Bases de Datos', 'BI']"
Controller de Negocio,Servinform,4,Sin informacion,Sin informacion,28-12-2022,['BI']
